,character,kun,meaning,on
0,上,うえ  あ  のぼ  うわ  かみ,Above,じょう
1,文,None,Writing,ぶん  もん
2,白,しろ  しら,White,はく
3,水,みず,Water,すい
4,木,き  こ,Tree,もく  ぼく
5,千,ち,Thousand,せん
6,刀,かたな,Sword,とう
7,日,ひ  か  び,Sun,にち  じつ
8,丁,None,Street,ちょう  てい
9,立,た,Stand,りつ  りゅう
10,小,ちい  こ  お,Small,しょう
11,起,お,Wake Up,き
12,慕,した,Yearn For,ぼ
13,邪,よこし,Wicked,じゃ
14,透,す,Transparent,とう
15,濡,ぬ,Wet,None
16,妻,つま,Wife,さい
17,厚,あつ,Thick,こう
18,論,None,Theory,ろん
19,尾,お  ぽ,Tail,び
20,余,あま,Surplus,よ
21,臭,くさ,Stinking,しゅう
22,防,ふせ,Prevent,ぼう
23,圧,None,Pressure,あつ
24,率,ひき,Percent,りつ  そつ
25,経,た  へ,Passage of Time,けい
26,倒,たお,Overthrow,とう
27,妨,さまた,Obstruct,ぼう
28,機,はた,Machine,き
29,個,None,Individual,こ
30,被,かぶ,Incur,ひ
31,穴,あな,Hole,けつ
32,罪,つみ,Guilt,ざい
33,産,う,Give Birth,さん
34,飛,と,Fly,ひ
35,在,None,Exist,ざい
36,震,ふる,Earthquake,しん
37,夢,ゆめ,Dream,む
38,困,こま,Distressed,こん
39,嫌,いや  きら,Dislike,けん  げん
40,災,わざわ,Disaster,さい
41,難,むずか,Difficult,なん
42,議,None,Deliberation,ぎ
43,害,None,Damage,がい
44,犯,おか,Crime,はん
45,械,かせ,Contraption,かい
46,確,たし,Certain,かく
47,尻,しり,Butt,None
48,裕,None,Abundant,ゆう
49,若,わか  も,Young,じゃく
50,財,None,Wealth,さい  ざい
51,暴,あば  ばく,Violence,ぼう
52,舌,した,Tongue,ぜつ
53,連,つ  つら,Take Along,れん
54,節,ふし,Season,せつ
55,乱,みだ,Riot,らん
56,改,あらた,Renew,かい
57,詞,None,Part Of Speech,し
58,宇,None,Outer Space,う
59,順,None,Order,じゅん
60,善,None,Morally Good,ぜん
61,混,ま,Mix,こん
62,宙,None,Midair,ちゅう
63,徒,None,Junior,と
64,史,None,History,し
65,団,None,Group,だん  とん
66,容,None,Form,よう
67,笛,ふえ,Flute,てき
68,絡,から,Entangle,らく
69,易,やさ,Easy,い  えき
70,昆,None,Descendants,こん
71,減,へ,Decrease,げん
72,続,つづ,Continue,ぞく
73,歴,へ,Continuation,れき
74,比,くら,Compare,ひ
75,布,ぬの,Cloth,ふ
76,閥,None,Clique,ばつ
77,忙,いそが,Busy,ぼう
78,履,は,Boots,り
79,冊,None,Book Counter,さつ
80,加,くわ,Add,か
81,得,え  う,Acquire,とく
82,禅,None,Zen,ぜん
83,洗,あら,Wash,せん
84,類,たぐ,Type,るい
85,喉,のど,Throat,こう
86,叩,たた,Strike,こう
