id;character;meaning;on;kun
0;上;Above;じょう;うえ, あ, のぼ, うわ, かみ
1;文;Writing;ぶん, もん;None
2;白;White;はく;しろ, しら
3;水;Water;すい;みず
4;木;Tree;もく, ぼく;き, こ
5;千;Thousand;せん;ち
6;刀;Sword;とう;かたな
7;日;Sun;にち, じつ;ひ, か, び
8;丁;Street;ちょう, てい;None
9;立;Stand;りつ, りゅう;た
10;小;Small;しょう;ちい, こ, お
11;起;Wake Up;き;お
12;慕;Yearn For;ぼ;した
13;邪;Wicked;じゃ;よこし
14;透;Transparent;とう;す
15;濡;Wet;None;ぬ
16;妻;Wife;さい;つま
17;厚;Thick;こう;あつ
18;論;Theory;ろん;None
19;尾;Tail;び;お, ぽ
20;余;Surplus;よ;あま
21;臭;Stinking;しゅう;くさ
22;防;Prevent;ぼう;ふせ
23;圧;Pressure;あつ;None
24;率;Percent;りつ, そつ;ひき
25;経;Passage of Time;けい;た, へ
26;倒;Overthrow;とう;たお
27;妨;Obstruct;ぼう;さまた
28;機;Machine;き;はた
29;個;Individual;こ;None
30;被;Incur;ひ;かぶ
31;穴;Hole;けつ;あな
32;罪;Guilt;ざい;つみ
33;産;Give Birth;さん;う
34;飛;Fly;ひ;と
35;在;Exist;ざい;None
36;震;Earthquake;しん;ふる
37;夢;Dream;む;ゆめ
38;困;Distressed;こん;こま
39;嫌;Dislike;けん, げん;いや, きら
40;災;Disaster;さい;わざわ
41;難;Difficult;なん;むずか
42;議;Deliberation;ぎ;None
43;害;Damage;がい;None
44;犯;Crime;はん;おか
45;械;Contraption;かい;かせ
46;確;Certain;かく;たし
47;尻;Butt;None;しり
48;裕;Abundant;ゆう;None
49;若;Young;じゃく;わか, も
50;財;Wealth;さい, ざい;None
51;暴;Violence;ぼう;あば, ばく
52;舌;Tongue;ぜつ;した
53;連;Take Along;れん;つ, つら
54;節;Season;せつ;ふし
55;乱;Riot;らん;みだ
56;改;Renew;かい;あらた
57;詞;Part Of Speech;し;None
58;宇;Outer Space;う;None
59;順;Order;じゅん;None
60;善;Morally Good;ぜん;None
61;混;Mix;こん;ま
62;宙;Midair;ちゅう;None
63;徒;Junior;と;None
64;史;History;し;None
65;団;Group;だん, とん;None
66;容;Form;よう;None
67;笛;Flute;てき;ふえ
68;絡;Entangle;らく;から
69;易;Easy;い, えき;やさ
70;昆;Descendants;こん;None
71;減;Decrease;げん;へ
72;続;Continue;ぞく;つづ
73;歴;Continuation;れき;へ
74;比;Compare;ひ;くら
75;布;Cloth;ふ;ぬの
76;閥;Clique;ばつ;None
77;忙;Busy;ぼう;いそが
78;履;Boots;り;は
79;冊;Book Counter;さつ;None
80;加;Add;か;くわ
81;得;Acquire;とく;え, う
82;禅;Zen;ぜん;None
83;洗;Wash;せん;あら
84;類;Type;るい;たぐ
85;喉;Throat;こう;のど
86;叩;Strike;こう;たた
87;汽;Steam;き;None
88;煙;Smoke;えん;けむ, けむり
89;座;Sit;ざ;すわ
90;静;Quiet;せい;しず
91;禁;Prohibit;きん;None
92;僧;Priest;そう;None
93;祈;Pray;き;いの
94;可;Possible;か;None
95;許;Permit;きょ;ゆる
96;句;Paragraph;く;None
97;報;News;ほう;むく
98;種;Kind;しゅ;たね, ぐさ
99;訓;Instruction;くん;よ
100;忘;Forget;ぼう;わす
101;枚;Flat Objects Counter;まい;None
102;等;Equal;とう;ひと, など
103;喫;Consume;きつ;の
104;胸;Chest;きょう;むね
105;飴;Candy;None;あめ
106;脳;Brain;のう;None
107;弓;Bow;きゅう;ゆみ
108;借;Borrow;しゃく;か
109;焼;Bake;しょう;や
110;達;Attain;たつ;たち
111;告;Announce;こく;つ
112;警;Warn;けい;None
113;虚;Void;きょ, こ;むな
114;梅;Ume;ばい;うめ
115;細;Thin;さい;ほそ, こま
116;説;Theory;せつ;と
117;兵;Soldier;へい, ひょう;None
118;側;Side;そく;がわ, そば
119;席;Seat;せき;None
120;塩;Salt;えん;しお
121;悲;Sad;ひ;かな
122;恋;Romance;れん;こい
123;喜;Rejoice;き;よろこ
124;栄;Prosper;えい;さか
125;原;Original;げん;はら
126;常;Ordinary;じょう;つね
127;無;Nothing;む, ぶ;な
128;鼻;Nose;び;はな
129;覚;Memorize;かく;おぼ, さ
130;薬;Medicine;やく;くすり
131;愛;Love;あい;まな
132;非;Injustice;ひ;None
133;幻;Illusion;げん;まぼろし
134;堂;Hall;どう;None
135;察;Guess;さつ;None
136;署;Government Office;しょ;None
137;官;Government;かん;None
138;果;Fruit;か;くだ, は
139;渉;Ford;しょう;わた
140;敗;Failure;はい;やぶ
141;干;Dry;かん;ほ, ひ
142;劇;Drama;げき;None
143;識;Discerning;しき;None
144;詳;Detailed;しょう;くわ
145;因;Cause;いん;よ
146;底;Bottom;てい;そこ
147;結;Bind;けつ;むす, ゆ
148;是;Absolutely;ぜ;None
149;書;Write;しょ;か
150;曜;Weekday;よう;None
151;取;Take;しゅ;と
152;冗;Superfluous;じょう;None
153;専;Specialty;せん;もっぱ
154;典;Rule;てん;None
155;険;Risky;けん;けわ
156;関;Related;かん;かか, せき
157;真;Reality;しん;ま
158;辞;Quit;じ;や
159;守;Protect;す, しゅ;まも, もり
160;品;Product;ひん;しな
161;政;Politics;せい;None
162;荷;Luggage;か;に
163;笑;Laugh;しょう;わら, え
164;急;Hurry;きゅう;いそ
165;阪;Heights;はん;さか
166;幸;Happiness;こう;しあわ, さいわ, さち
167;府;Government;ふ;None
168;門;Gates;もん;None
169;園;Garden;えん;None
170;遠;Far;えん;とお
171;面;Face;めん;おも, おもて
172;存;Exist;そん, ぞん;None
173;証;Evidence;しょう;あかし
174;弁;Dialect;べん;None
175;留;Detain;る, りゅう;と
176;冒;Dare;ぼう;おか
177;危;Dangerous;き;あぶ, あや
178;治;Cure;じ, ち;なお
179;係;Connection;けい;かか, かかり
180;箱;Box;None;はこ
181;浴;Bathe;よく;あ
182;寺;Temple;じ;てら
183;春;Spring;しゅん;はる
184;坂;Slope;はん;さか
185;単;Simple;たん;None
186;浅;Shallow;せん;あさ
187;列;Row;れつ;None
188;式;Ritual;しき;None
189;帰;Return;き;かえ
190;昨;Previous;さく;None
191;毒;Poison;どく;None
192;昼;Noon;ちゅう;ひる
193;晩;Night;ばん;None
194;法;Method;ほう;None
195;計;Measure;けい;はか
196;飯;Meal;はん;めし
197;夫;Husband;ふう, ふ;おっと
198;丈;Height;じょう;たけ
199;英;England;えい;None
200;区;District;く;None
201;司;Director;し;つかさど
202;泣;Cry;きゅう;な
203;勇;Courage;ゆう;いさ
204;築;Construct;ちく;きず
205;晴;Clear Up;せい;は
206;変;Change;へん;か
207;猫;Cat;None;ねこ
208;建;Build;けん;た
209;仏;Buddha;ぶつ;ほとけ
210;岩;Boulder;がん;いわ
211;信;Believe;しん;None
212;秋;Autumn;None;あき
213;軍;Army;ぐん;None
214;紀;Account;き;None
215;希;Wish;き;まれ
216;念;Thought;ねん;None
217;的;Target;てき;まと
218;囲;Surround;い;かこ
219;頑;Stubborn;がん;None
220;格;Status;かく;None
